audio_path,fig_path
D:\datasets\flickr_soundnet\Data\1\10000846733.wav,D:\datasets\flickr_soundnet\Data\1\10000846733.jpg
D:\datasets\flickr_soundnet\Data\1\10006095865.wav,D:\datasets\flickr_soundnet\Data\1\10006095865.jpg
D:\datasets\flickr_soundnet\Data\1\10007499104.wav,D:\datasets\flickr_soundnet\Data\1\10007499104.jpg
D:\datasets\flickr_soundnet\Data\1\10008253793.wav,D:\datasets\flickr_soundnet\Data\1\10008253793.jpg
D:\datasets\flickr_soundnet\Data\1\10009608044.wav,D:\datasets\flickr_soundnet\Data\1\10009608044.jpg
D:\datasets\flickr_soundnet\Data\1\10009662863.wav,D:\datasets\flickr_soundnet\Data\1\10009662863.jpg
D:\datasets\flickr_soundnet\Data\1\10009751675.wav,D:\datasets\flickr_soundnet\Data\1\10009751675.jpg
D:\datasets\flickr_soundnet\Data\1\10010533626.wav,D:\datasets\flickr_soundnet\Data\1\10010533626.jpg
D:\datasets\flickr_soundnet\Data\1\10010585066.wav,D:\datasets\flickr_soundnet\Data\1\10010585066.jpg
D:\datasets\flickr_soundnet\Data\1\10013889744.wav,D:\datasets\flickr_soundnet\Data\1\10013889744.jpg
D:\datasets\flickr_soundnet\Data\1\10015247853.wav,D:\datasets\flickr_soundnet\Data\1\10015247853.jpg
D:\datasets\flickr_soundnet\Data\1\10027293585.wav,D:\datasets\flickr_soundnet\Data\1\10027293585.jpg
D:\datasets\flickr_soundnet\Data\1\10031124375.wav,D:\datasets\flickr_soundnet\Data\1\10031124375.jpg
D:\datasets\flickr_soundnet\Data\1\10035545414.wav,D:\datasets\flickr_soundnet\Data\1\10035545414.jpg
D:\datasets\flickr_soundnet\Data\1\10037602934.wav,D:\datasets\flickr_soundnet\Data\1\10037602934.jpg
D:\datasets\flickr_soundnet\Data\1\10040842164.wav,D:\datasets\flickr_soundnet\Data\1\10040842164.jpg
D:\datasets\flickr_soundnet\Data\1\10051582325.wav,D:\datasets\flickr_soundnet\Data\1\10051582325.jpg
D:\datasets\flickr_soundnet\Data\1\10057330243.wav,D:\datasets\flickr_soundnet\Data\1\10057330243.jpg
D:\datasets\flickr_soundnet\Data\1\10061690244.wav,D:\datasets\flickr_soundnet\Data\1\10061690244.jpg
D:\datasets\flickr_soundnet\Data\1\10061833074.wav,D:\datasets\flickr_soundnet\Data\1\10061833074.jpg
D:\datasets\flickr_soundnet\Data\1\10071918463.wav,D:\datasets\flickr_soundnet\Data\1\10071918463.jpg
D:\datasets\flickr_soundnet\Data\1\10085211563.wav,D:\datasets\flickr_soundnet\Data\1\10085211563.jpg
D:\datasets\flickr_soundnet\Data\1\10085789025.wav,D:\datasets\flickr_soundnet\Data\1\10085789025.jpg
D:\datasets\flickr_soundnet\Data\1\10091990454.wav,D:\datasets\flickr_soundnet\Data\1\10091990454.jpg
D:\datasets\flickr_soundnet\Data\1\10094029846.wav,D:\datasets\flickr_soundnet\Data\1\10094029846.jpg
D:\datasets\flickr_soundnet\Data\1\10095609846.wav,D:\datasets\flickr_soundnet\Data\1\10095609846.jpg
D:\datasets\flickr_soundnet\Data\1\10100003763.wav,D:\datasets\flickr_soundnet\Data\1\10100003763.jpg
D:\datasets\flickr_soundnet\Data\1\10103704384.wav,D:\datasets\flickr_soundnet\Data\1\10103704384.jpg
D:\datasets\flickr_soundnet\Data\1\10105606456.wav,D:\datasets\flickr_soundnet\Data\1\10105606456.jpg
D:\datasets\flickr_soundnet\Data\1\10128121135.wav,D:\datasets\flickr_soundnet\Data\1\10128121135.jpg
D:\datasets\flickr_soundnet\Data\1\10128179135.wav,D:\datasets\flickr_soundnet\Data\1\10128179135.jpg
D:\datasets\flickr_soundnet\Data\1\10129791115.wav,D:\datasets\flickr_soundnet\Data\1\10129791115.jpg
D:\datasets\flickr_soundnet\Data\1\10135062465.wav,D:\datasets\flickr_soundnet\Data\1\10135062465.jpg
D:\datasets\flickr_soundnet\Data\1\10144707194.wav,D:\datasets\flickr_soundnet\Data\1\10144707194.jpg
D:\datasets\flickr_soundnet\Data\1\10149015303.wav,D:\datasets\flickr_soundnet\Data\1\10149015303.jpg
D:\datasets\flickr_soundnet\Data\1\10156222405.wav,D:\datasets\flickr_soundnet\Data\1\10156222405.jpg
D:\datasets\flickr_soundnet\Data\1\10164117646.wav,D:\datasets\flickr_soundnet\Data\1\10164117646.jpg
D:\datasets\flickr_soundnet\Data\1\10168001135.wav,D:\datasets\flickr_soundnet\Data\1\10168001135.jpg
D:\datasets\flickr_soundnet\Data\1\10170081495.wav,D:\datasets\flickr_soundnet\Data\1\10170081495.jpg
D:\datasets\flickr_soundnet\Data\1\10178533146.wav,D:\datasets\flickr_soundnet\Data\1\10178533146.jpg
D:\datasets\flickr_soundnet\Data\1\10181401445.wav,D:\datasets\flickr_soundnet\Data\1\10181401445.jpg
D:\datasets\flickr_soundnet\Data\1\10191090654.wav,D:\datasets\flickr_soundnet\Data\1\10191090654.jpg
D:\datasets\flickr_soundnet\Data\1\10194258636.wav,D:\datasets\flickr_soundnet\Data\1\10194258636.jpg
D:\datasets\flickr_soundnet\Data\1\10194478046.wav,D:\datasets\flickr_soundnet\Data\1\10194478046.jpg
D:\datasets\flickr_soundnet\Data\1\10199057586.wav,D:\datasets\flickr_soundnet\Data\1\10199057586.jpg
D:\datasets\flickr_soundnet\Data\1\10200377216.wav,D:\datasets\flickr_soundnet\Data\1\10200377216.jpg
D:\datasets\flickr_soundnet\Data\1\10202025415.wav,D:\datasets\flickr_soundnet\Data\1\10202025415.jpg
D:\datasets\flickr_soundnet\Data\1\10206245424.wav,D:\datasets\flickr_soundnet\Data\1\10206245424.jpg
